query,actual,stop_vs_truth,best_vs_truth,truth_spans_children,local_desc,n_children,n_maps_to_Q,provenance,decision
v2|003 L5/6 IT TPE-ENT Glut,stop_not_concentrated,coarse,inside-truth,True,True,13,5,n01;v3|0029 L5/6 IT TPE-ENT Glut_3;v3|0049 L6 IT CTX Glut_4;v3|0065 L5 IT CTX Glut_5;v3|0083 L4/5 IT CTX Glut_3,VETO
v2|004 L6 IT CTX Glut,descend,coarse,inside-truth,True,True,13,2,n02;n30,VETO
v2|004 L6 IT CTX Glut,descend,inside-truth,inside-truth,True,True,2,1,n03,UNRESOLVED
v2|004 L6 IT CTX Glut,stop_parent_better,inside-truth,inside-truth,True,True,2,1,v3|0041 L6 IT CTX Glut_2,UNRESOLVED
v2|005 L5 IT CTX Glut,descend,coarse,off,True,True,13,0,,UNRESOLVED
v2|005 L5 IT CTX Glut,descend,off,off,True,True,2,1,n04,UNRESOLVED
v2|005 L5 IT CTX Glut,stop_not_concentrated,off,inside-truth,True,True,3,0,,UNRESOLVED
v2|006 L4/5 IT CTX Glut,descend,coarse,inside-truth,True,True,13,2,n32;n49,VETO
v2|006 L4/5 IT CTX Glut,stop_not_concentrated,inside-truth,inside-truth,True,False,2,1,n05,stop (local unsupported)
v2|007 L2/3 IT CTX Glut,stop_not_concentrated,coarse,inside-truth,True,True,2,2,n08;n34,VETO
v2|022 L5 ET CTX Glut,stop_not_concentrated,EXACT,inside-truth,True,True,2,2,n35;n36,VETO
v2|027 L6b CTX Glut,stop_not_concentrated,coarse,inside-truth,True,False,7,3,v3|0421 L6b CTX Glut_1;v3|0430 L6b CTX Glut_3;v3|0449 L6 CT CTX Glut_5,stop (local unsupported)
v2|028 L6 CT CTX Glut,stop_not_concentrated,coarse,inside-truth,True,True,7,4,n13;n37;v3|0445 L6 CT CTX Glut_3;v3|0452 L6 CT CTX Glut_5,VETO
v2|030 L5 NP CTX Glut,stop_not_concentrated,inside-truth,inside-truth,True,False,2,2,n14;v3|0463 L5 NP CTX Glut_2,stop (local unsupported)
v2|036 Vip Gaba,stop_not_concentrated,coarse,inside-truth,True,True,2,1,n57,UNRESOLVED
v2|037 Sncg Gaba,stop_not_concentrated,EXACT,inside-truth,True,True,2,2,n17;v3|0553 Sncg Gaba_3,VETO
v2|039 Lamp5 Gaba,stop_not_concentrated,inside-truth,inside-truth,True,True,2,2,n18;v3|0580 Lamp5 Gaba_1,VETO
v2|042 Pvalb Gaba,stop_not_concentrated,EXACT,inside-truth,True,True,2,2,n58;v3|0607 Pvalb Gaba_1,VETO
v2|043 Sst Gaba,stop_not_concentrated,EXACT,inside-truth,True,True,2,2,n21;n66,VETO
v2|295 Oligo NN,stop_not_concentrated,EXACT,inside-truth,True,True,2,1,n27,UNRESOLVED
v2|301 Endo NN,stop_not_concentrated,coarse,EXACT,False,True,2,1,v3|5188 Endo NN,PERMIT
